Time, state, AID, D0,D1,D2,D3,D4,D5,D6,D7
65371 ms, -1, 200, 167, 45, 39, 45, 39, 45, 128, 0
65426 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
65481 ms, -1, 205, 0, 0, 0, 0, 0, 0, 0, 0
65543 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
65598 ms, -1, 200, 167, 39, 39, 39, 39, 39, 128, 0
65653 ms, -1, 240, 12, 0, 39, 39, 39, 39, 128, 0
65709 ms, -1, 200, 167, 34, 39, 34, 39, 34, 128, 0
65780 ms, -1, 240, 13, 0, 39, 34, 39, 34, 128, 0
65836 ms, -1, 240, 13, 0, 39, 34, 39, 34, 128, 0
65891 ms, -1, 200, 167, 29, 39, 29, 39, 29, 128, 0
65946 ms, -1, 190, 0, 0, 0, 0, 0, 0, 0, 0
66001 ms, -1, 240, 12, 0, 0, 0, 0, 0, 0, 0
66056 ms, -1, 430, 27, 150, 0, 0, 0, 0, 0, 0
66111 ms, -1, 420, 85, 0, 88, 0, 0, 0, 0, 0
66172 ms, -1, 200, 167, 31, 39, 31, 39, 31, 128, 0
