Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
Time, RPM, AID, D0,D1,D2,D3,D4,D5,D6,D7
55914, 808 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
56083, 796 rpm , 201, 3, 49, 63, 216, 0, 0, 0, 0
56153, 796 rpm , 200, 167, 50, 39, 50, 39, 50, 128, 0
56233, 794 rpm , 200, 167, 49, 39, 49, 39, 49, 128, 0
56303, 788 rpm , 200, 167, 51, 39, 51, 39, 51, 128, 0
56383, 789 rpm , 200, 167, 49, 39, 49, 39, 49, 128, 0
56493, 792 rpm , 200, 167, 48, 39, 48, 39, 48, 128, 0
56558, 792 rpm , 228, 0, 4, 0, 0, 101, 0, 0, 0
56863, 777 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
56943, 772 rpm , 201, 3, 20, 63, 216, 0, 0, 0, 0
57167, 764 rpm , 228, 0, 4, 0, 0, 255, 0, 0, 0
57242, 756 rpm , 200, 167, 51, 39, 51, 39, 51, 128, 0
57313, 761 rpm , 201, 3, 8, 63, 216, 0, 0, 0, 0
57493, 758 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
57681, 749 rpm , 201, 2, 255, 63, 236, 0, 0, 0, 0
57752, 748 rpm , 200, 167, 50, 39, 50, 39, 50, 128, 0
57839, 744 rpm , 201, 2, 250, 63, 236, 0, 0, 0, 0
57912, 750 rpm , 201, 2, 248, 63, 236, 0, 0, 0, 0
57981, 750 rpm , 201, 2, 247, 64, 0, 0, 0, 0, 0
58172, 739 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
58242, 741 rpm , 201, 2, 241, 63, 236, 0, 0, 0, 0
58330, 738 rpm , 201, 2, 239, 63, 236, 0, 0, 0, 0
58401, 744 rpm , 201, 2, 238, 64, 0, 0, 0, 0, 0
58481, 741 rpm , 201, 2, 237, 64, 0, 0, 0, 0, 0
58611, 741 rpm , 201, 2, 235, 63, 236, 0, 0, 0, 0
58682, 734 rpm , 201, 2, 234, 63, 236, 0, 0, 0, 0
58744, 733 rpm , 430, 186, 18, 63, 236, 0, 0, 0, 0
58941, 732 rpm , 201, 2, 229, 63, 236, 0, 0, 0, 0
59130, 715 rpm , 201, 2, 222, 63, 216, 0, 0, 0, 0
59291, 714 rpm , 4EA, 0, 65, 12, 11, 43, 0, 0, 0
59470, 708 rpm , 201, 2, 210, 63, 216, 0, 0, 0, 0
59931, 702 rpm , 228, 0, 4, 0, 0, 249, 0, 0, 0
60360, 682 rpm , 201, 2, 188, 63, 216, 0, 0, 0, 0
60691, 692 rpm , 420, 141, 0, 210, 0, 0, 0, 0, 0
60870, 690 rpm , 201, 2, 183, 63, 236, 0, 0, 0, 0
61050, 695 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
61135, 700 rpm , 433, 128, 6, 8, 1, 0, 172, 80, 0
61489, 695 rpm , 201, 2, 184, 64, 0, 0, 0, 0, 0
61844, 694 rpm , 433, 128, 6, 8, 1, 0, 172, 80, 0
61908, 688 rpm , 200, 167, 45, 39, 45, 39, 45, 128, 0
62389, 700 rpm , 420, 141, 0, 212, 0, 0, 0, 0, 0
62627, 699 rpm , 200, 167, 43, 39, 43, 39, 43, 128, 0
62978, 699 rpm , 200, 167, 42, 39, 42, 39, 42, 128, 0
63388, 702 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
63587, 697 rpm , 200, 167, 43, 39, 43, 39, 43, 128, 0
63652, 694 rpm , 228, 0, 4, 0, 0, 39, 43, 128, 0
63853, 694 rpm , 430, 186, 18, 12, 10, 218, 0, 0, 0
63958, 696 rpm , 231, 1, 75, 1, 0, 0, 0, 128, 0
64057, 703 rpm , 200, 167, 42, 39, 42, 39, 42, 128, 0
